clip_id,group,category,prompt,gen_index,model,lufs_in,peak_in,proxy_arousal_deploy,proxy_valence_deploy,aux_arousal,tempo_bpm,onset_density,rms_mean,spectral_flux_mean,roughness,num_inference_steps,cfg_scale,seed,clip_seed,config,proxy_arousal_foldmean
anxiolytic.nature_calm.p0.g1,anxiolytic,nature_calm,gentle rain sounds with soft calming piano,1,stable-audio-3-medium,-27.86452190320333,0.46923828125,3.5844028280895066,2.970299926160902,4.167041638109763,123.046875,0.6743174256263048,0.0117534417659044,0.0469736456871032,0.2173392642652945,8,1.0,0,67081,sweep_s8_cfg1.0,3.510693181008752
anxiolytic.nature_calm.p0.g3,anxiolytic,nature_calm,gentle rain sounds with soft calming piano,3,stable-audio-3-medium,-46.16560244388941,0.18634033203125,2.559201136302653,2.7392245433769395,4.091468715498372,129.19921875,1.9973476582855652,0.0112402886152267,0.1028647869825363,0.0872404846115113,8,1.0,0,11470,sweep_s8_cfg1.0,2.8436449889544746
anxiolytic.nature_calm.p1.g1,anxiolytic,nature_calm,peaceful forest ambience with quiet warm pads,1,stable-audio-3-medium,-35.625947236945365,0.121337890625,4.515346001712229,4.4935877746154125,6.543250652491993,129.19921875,6.255204251567399,0.0135566610842943,0.032178096473217,0.719929642252919,8,1.0,0,91315,sweep_s8_cfg1.0,4.494808309514813
anxiolytic.nature_calm.p1.g3,anxiolytic,nature_calm,peaceful forest ambience with quiet warm pads,3,stable-audio-3-medium,-38.3328198313658,0.430389404296875,2.65074325525396,3.1502076991178285,4.933858775116708,123.046875,5.7029607856016815,0.0207652878016233,0.0649467855691909,0.16304409894564,8,1.0,0,90854,sweep_s8_cfg1.0,3.020613578448135
controls.high_arousal.p0.g1,controls,high_arousal,intense energetic workout music with driving beat,1,stable-audio-3-medium,-14.117531302228134,1.0,5.872147903224024,6.02337962559982,7.426752018519977,129.19921875,7.774939903846153,0.2463048696517944,0.0531708262860775,0.1264534549235244,8,1.0,0,47863,sweep_s8_cfg1.0,5.610374786338967
controls.high_arousal.p0.g3,controls,high_arousal,intense energetic workout music with driving beat,3,stable-audio-3-medium,-14.554082065374212,0.960174560546875,5.701896926807735,6.195039952025012,6.685928628878846,129.19921875,3.984711921719812,0.2398173660039901,0.0540402568876743,0.1106783140227898,8,1.0,0,68798,sweep_s8_cfg1.0,5.798484241293089
controls.high_arousal.p1.g1,controls,high_arousal,fast aggressive electronic dance music,1,stable-audio-3-medium,-21.16117685730004,0.8031005859375,5.482937589856614,5.8240793968796085,6.378749837523811,161.4990234375,5.357760608856089,0.0969850867986679,0.0587253980338573,0.1866943141067559,8,1.0,0,98079,sweep_s8_cfg1.0,5.521193172544419
controls.high_arousal.p1.g3,controls,high_arousal,fast aggressive electronic dance music,3,stable-audio-3-medium,-14.71350457147754,1.0,5.926300844904999,6.608385491571788,6.755989831455134,129.19921875,4.9579326923076925,0.2284585386514663,0.0780268982052803,0.1746428522636883,8,1.0,0,38294,sweep_s8_cfg1.0,5.422551103966401
controls.high_arousal.p2.g1,controls,high_arousal,"epic dramatic action movie music, loud and powerful",1,stable-audio-3-medium,-15.96144915276114,0.987548828125,4.760023177493893,3.968889114684994,3.916517860987141,117.45383522727272,3.178931926858836,0.1492483019828796,0.0496013052761554,0.2071699572634055,8,1.0,0,29338,sweep_s8_cfg1.0,4.696201964481185
controls.high_arousal.p2.g3,controls,high_arousal,"epic dramatic action movie music, loud and powerful",3,stable-audio-3-medium,-13.72086895035746,0.97357177734375,4.7725715214295406,4.4256120891174655,3.9584094534278496,123.046875,0.3394619515239096,0.1855147331953048,0.0322284586727619,0.1867791096421172,8,1.0,0,6308,sweep_s8_cfg1.0,4.455082375944285
